title,description
Data Scientist,"python machine learning data analysis statistics pandas numpy"
Data Analyst,"excel sql power bi data visualization dashboard"
ML Engineer,"python deep learning tensorflow pytorch model deployment"
Web Developer,"html css javascript react frontend backend web development"
Frontend Developer,"html css javascript react ui ux responsive design"
Backend Developer,"python django flask api database server"
Full Stack Developer,"html css javascript react nodejs mongodb full stack"
Software Engineer,"java python data structures algorithms problem solving"
AI Engineer,"python machine learning deep learning nlp computer vision"
Business Analyst,"excel sql data analysis business intelligence reporting"
Cloud Engineer,"aws azure cloud computing devops docker kubernetes"
DevOps Engineer,"linux docker kubernetes ci cd automation scripting"
Cybersecurity Analyst,"network security ethical hacking penetration testing cryptography"
Mobile App Developer,"android ios flutter react native mobile development"
Game Developer,"unity c# game design graphics physics"
Database Administrator,"sql database management oracle mysql performance tuning"
Data Engineer,"python sql etl pipelines big data spark hadoop"
UI UX Designer,"figma adobe xd user interface user experience design"
System Administrator,"linux windows server networking system maintenance"
QA Engineer,"testing automation selenium manual testing bug tracking"
Blockchain Developer,"solidity ethereum smart contracts web3 blockchain"
AR VR Developer,"augmented reality virtual reality unity 3d"
Embedded Systems Engineer,"c c++ microcontrollers iot hardware programming"
Robotics Engineer,"python c++ robotics automation sensors control systems"
Network Engineer,"networking routing switching cisco firewall troubleshooting"
Product Manager,"product strategy roadmap agile stakeholder management"
Digital Marketing Specialist,"seo sem social media marketing analytics"
